,title,publication_date
0,COVID-19 Vaccine Equity and Access: A Case for Healthcare Chatbots.,2023-01-12
1,Language and communication skills in multilingual children on the autism spectrum: A systematic review.,2023-01-12
2,Beyond the language barrier: A systematic review of selective mutism in culturally and linguistically diverse children.,2023-01-12
3,Teacher Questioning to Promote Extended Language Use for Preschool Emergent Bilinguals.,2023-01-11
4,The effects of bilingualism on cognition and behaviour in individuals with attention deficits: A scoping review.,2023-01-10
5,Requests and apologies in two languages among bilingual speakers: A comparison of heritage English speakers and English- and Hebrew-dominant bilinguals.,2023-01-10
6,Working with Data in Adult English Classrooms: Lessons Learned about Communicative Justice during the COVID-19 Pandemic.,2023-01-09
7,"Exploring the impact of household, personal, and employment characteristics on dentistry's income gap between men and women.",2023-01-08
8,Implicit Association Test (IAT) Studies Investigating Pitch-Shape Audiovisual Cross-modal Associations Across Language Groups.,2023-01-07
9,Aptitude and experience as predictors of grammatical proficiency in adult Greek-English bilinguals.,2023-01-07
10,Experiences of peer navigators implementing a bilingual multilevel intervention to address sexually transmitted infection and HIV disparities and social determinants of health.,2023-01-05
11,Vaccination rates among international students: Insights from a university health vaccination initiative.,2023-01-04
12,Systematic language input improved productions of elaborated verb phrases of Cantonese-speaking children with language difficulties.,2023-01-03
13,Speech-language pathologists' perceptions of childhood bilingualism.,2023-01-03
14,"COVID-19 Infection and Contact Tracing Among Refugees in the United States, 2020-2021.",2023-01-01
15,Longitudinal predictors of French word reading difficulties among French Immersion children.,2023-01-01
16,How processing emotion affects language control in bilinguals.,2023-01-01
17,Cost or advantage? Intra-sentential language switching could facilitate L2 emotional words' comprehension in auditory modality.,2022-12-31
18,"Vaccines, media and politics: A corpus-assisted discourse study of press representations of the safety and efficacy of COVID-19 vaccines.",2022-12-31
19,The role of L1-L2 dissimilarity in L2 segment learning - Implications from the acquisition of English post-alveolar fricatives by Mandarin and Mandarin/Wu speakers.,2022-12-31
20,"A Bibliometric Review of Constituents, Themes, and Trends in Online Medical Consultation Research.",2022-12-30
21,Vocabulary Acquisition and Usage for Late Talkers: The Feasibility of a Caregiver-Implemented Telehealth Model.,2022-12-30
22,Characterizing Speech Sound Productions in Bilingual Speakers of Jamaican Creole and English: Application of Durational Acoustic Methods.,2022-12-30
23,The depth of semantic processing modulates cross-language pattern similarity in Chinese-English bilinguals.,2022-12-30
24,Comprehending scientific metaphors in the bilingual brain: Evidence from event-related potentials.,2022-12-30
